Order ID,Product,Quantity Ordered,Price Each,Date,Address,
176625,AAA Batteries (4-pack),2,3,4/24/2019,"858 5th St, San Francisco, CA 94016",
176626,Bose SoundSport Headphones,1,100,4/1/2019,"491 Chestnut St, Boston, MA 02215",
176627,Wired Headphones,1,12,4/21/2019,"994 13th St, Atlanta, GA 30301",
176628,USB-C to Lightning Cable,2,15,4/15/2019,"628 Wilson St, Dallas, TX 75001",
176629,Samsung USB Type-C to Type-Ce-C,1,12,4/24/2019,"101 Lincoln St, San Francisco, CA 94016",
176630,Google Pixel 8 Pro,1,600,4/10/2019,"770 Maple St, San Francisco, CA 94016",
176631,Samsung USB Type-C to Type-Ce-C,1,12,4/13/2019,"292 Dogwood St, San Francisco, CA 94016",
176632,AAA Batteries (4-pack),1,3,4/14/2019,"814 Madison St, San Francisco, CA 94016",
176633,HP ProBook 450 Notebook,1,1000,4/23/2019,"863 Hickory St, Los Angeles, CA 90001",
176634,USB-C to Lightning Cable,1,15,4/10/2019,"311 Madison St, Atlanta, GA 30301",
176635,Galaxy S23 Ultra,1,400,4/26/2019,"85 North St, San Francisco, CA 94016",
176636,AA Batteries (4-pack),1,4,4/30/2019,"140 10th St, Boston, MA 02215",
176637,AAA Batteries (4-pack),1,3,4/17/2019,"261 Sunset St, New York City, NY 10001",
176638,Samsung USB Type-C to Type-Ce-C,1,12,4/20/2019,"869 Cherry St, Boston, MA 02215",
176639,MacBook Pro M2,1,1700,4/28/2019,"853 Cedar St, San Francisco, CA 94016",
176640,Wired Headphones,2,12,4/27/2019,"164 Lake St, San Francisco, CA 94016",
176641,USB-C to Lightning Cable,1,15,4/25/2019,"655 Sunset St, Boston, MA 02215",
176642,AA Batteries (4-pack),1,4,4/17/2019,"72 Elm St, Portland, OR 97035",
176643,MacBook Pro M2,1,1700,4/27/2019,"373 Adams St, Boston, MA 02215",
176644,Samsung USB Type-C to Type-Ce-C,1,12,4/23/2019,"962 7th St, Los Angeles, CA 90001",
176645,AAA Batteries (4-pack),3,3,4/26/2019,"514 Lake St, Dallas, TX 75001",
176646,MacBook Pro M2,1,1700,4/22/2019,"657 Adams St, Portland, OR 97035",
176647,Google Pixel 8 Pro,1,600,4/21/2019,"273 South St, Los Angeles, CA 90001",
176648,27in FHD Monitor,1,150,4/24/2019,"732 2nd St, Portland, OR 97035",
176649,Samsung USB Type-C to Type-Ce-C,1,12,4/9/2019,"702 11th St, San Francisco, CA 94016",
176650,USB-C to Lightning Cable,1,15,4/12/2019,"153 River St, Boston, MA 02215",
176651,iPhone 14 Pro Max,1,700,4/7/2019,"997 South St, Boston, MA 02215",
176652,LG Washing Machine,1,600,4/9/2019,"502 14th St, New York City, NY 10001",
176653,AA Batteries (4-pack),1,4,4/26/2019,"285 Chestnut St, San Francisco, CA 94016",
176654,Samsung USB Type-C to Type-Ce-C,1,12,4/15/2019,"880 Lakeview St, Seattle, WA 98101",
176655,Anker Soundcore Life 2 Neo,1,150,4/11/2019,"848 Center St, San Francisco, CA 94016",
176656,Google Pixel 8 Pro,1,600,4/12/2019,"12 Lakeview St, New York City, NY 10001",
176657,HP ProBook 450 Notebook,1,1000,4/23/2019,"774 Forest St, Los Angeles, CA 90001",
176658,AAA Batteries (4-pack),2,3,4/22/2019,"573 Pine St, San Francisco, CA 94016",
176659,20in Monitor,1,110,4/29/2019,"804 Church St, Dallas, TX 75001",
176660,AA Batteries (4-pack),1,4,4/16/2019,"267 West St, Boston, MA 02215",
176661,Wired Headphones,1,12,4/25/2019,"522 6th St, Atlanta, GA 30301",
176662,24-inch Monitor,1,380,4/5/2019,"678 Hickory St, Portland, OR 97035",
176663,Bose SoundSport Headphones,1,100,4/5/2019,"450 Johnson St, Seattle, WA 98101",
176664,AAA Batteries (4-pack),1,3,4/13/2019,"544 Madison St, Los Angeles, CA 90001",
176665,HP ProBook 450 Notebook,1,1000,4/7/2019,"927 13th St, Dallas, TX 75001",
176666,Wired Headphones,1,12,4/8/2019,"382 Forest St, Seattle, WA 98101",
176667,27in 4K Gaming Monitor,1,390,4/11/2019,"92 11th St, Los Angeles, CA 90001",
176668,AA Batteries (4-pack),1,4,4/15/2019,"56 2nd St, Dallas, TX 75001",
176669,27in FHD Monitor,1,150,4/8/2019,"506 Jackson St, Dallas, TX 75001",
176670,Anker Soundcore Life 2 Neo,1,150,4/25/2019,"892 Willow St, San Francisco, CA 94016",
176671,AAA Batteries (4-pack),2,3,4/23/2019,"738 Jefferson St, New York City, NY 10001",
176672,USB-C to Lightning Cable,1,15,4/12/2019,"778 Maple St, New York City, NY 10001",
176672,Samsung USB Type-C to Type-Ce-C,1,12,4/12/2019,"778 Maple St, New York City, NY 10001",
176673,20in Monitor,1,110,4/10/2019,"952 1st St, Boston, MA 02215",
176674,AAA Batteries (4-pack),3,3,4/20/2019,"907 West St, Austin, TX 73301",
176675,AAA Batteries (4-pack),1,3,4/2/2019,"933 Meadow St, Seattle, WA 98101",
176676,LG Dryer,1,600,4/9/2019,"788 Lincoln St, Los Angeles, CA 90001",
176677,24-inch Monitor,1,380,4/1/2019,"661 Washington St, Austin, TX 73301",
176678,AA Batteries (4-pack),2,4,4/19/2019,"345 Sunset St, San Francisco, CA 94016",
176679,Anker Soundcore Life 2 Neo,1,150,4/16/2019,"245 West St, Boston, MA 02215",
176680,Samsung USB Type-C to Type-Ce-C,1,12,4/13/2019,"368 Main St, Los Angeles, CA 90001",
176681,Anker Soundcore Life 2 Neo,1,150,4/20/2019,"331 Cherry St, Seattle, WA 98101",
176681,HP ProBook 450 Notebook,1,1000,4/20/2019,"331 Cherry St, Seattle, WA 98101",
176682,USB-C to Lightning Cable,1,15,4/27/2019,"593 Adams St, Boston, MA 02215",
176683,AA Batteries (4-pack),1,4,4/3/2019,"253 Willow St, Los Angeles, CA 90001",
176684,Samsung USB Type-C to Type-Ce-C,1,12,4/17/2019,"293 Washington St, Los Angeles, CA 90001",
176685,24-inch Monitor,1,380,4/23/2019,"114 10th St, New York City, NY 10001",
176686,Wired Headphones,1,12,4/17/2019,"892 10th St, Austin, TX 73301",
176687,MacBook Pro M2,1,1700,4/30/2019,"121 Wilson St, Los Angeles, CA 90001",
176688,Flatscreen TV,1,300,4/20/2019,"229 Church St, San Francisco, CA 94016",
176689,Bose SoundSport Headphones,1,100,4/24/2019,"659 Lincoln St, New York City, NY 10001",
176689,AAA Batteries (4-pack),2,3,4/24/2019,"659 Lincoln St, New York City, NY 10001",
176690,20in Monitor,1,110,4/4/2019,"873 Sunset St, San Francisco, CA 94016",
176691,AAA Batteries (4-pack),1,3,4/12/2019,"991 Lincoln St, Los Angeles, CA 90001",
176692,Wired Headphones,1,12,4/8/2019,"290 Forest St, San Francisco, CA 94016",
176693,AA Batteries (4-pack),1,4,4/22/2019,"252 Walnut St, San Francisco, CA 94016",
176694,Samsung USB Type-C to Type-Ce-C,1,12,4/5/2019,"985 Washington St, Atlanta, GA 30301",
176695,AA Batteries (4-pack),2,4,4/12/2019,"709 Lake St, Seattle, WA 98101",
176696,iPhone 14 Pro Max,1,700,4/7/2019,"343 Johnson St, New York City, NY 10001",
176697,Wired Headphones,1,12,4/20/2019,"675 Center St, New York City, NY 10001",
176698,Bose SoundSport Headphones,1,100,4/2/2019,"232 Lakeview St, San Francisco, CA 94016",
176699,Bose SoundSport Headphones,1,100,4/28/2019,"49 Jefferson St, Boston, MA 02215",
176700,24-inch Monitor,1,380,4/7/2019,"967 Walnut St, Dallas, TX 75001",
176701,Samsung USB Type-C to Type-Ce-C,1,12,4/11/2019,"128 Church St, Austin, TX 73301",
176702,AA Batteries (4-pack),1,4,4/23/2019,"896 Sunset St, Seattle, WA 98101",
176703,20in Monitor,1,110,4/17/2019,"748 Washington St, New York City, NY 10001",
176704,AA Batteries (4-pack),2,4,4/17/2019,"909 Center St, Seattle, WA 98101",
176705,USB-C to Lightning Cable,2,15,4/6/2019,"503 8th St, Austin, TX 73301",
176706,USB-C to Lightning Cable,1,15,4/13/2019,"309 South St, New York City, NY 10001",
176707,Anker Soundcore Life 2 Neo,1,150,4/13/2019,"408 Center St, Portland, OR 97035",
176708,Wired Headphones,1,12,4/28/2019,"542 Ridge St, New York City, NY 10001",
176709,AA Batteries (4-pack),1,4,4/24/2019,"971 Church St, Dallas, TX 75001",
176710,20in Monitor,2,110,4/7/2019,"848 West St, Dallas, TX 75001",
176711,Flatscreen TV,1,300,4/30/2019,"796 River St, Dallas, TX 75001",
176712,Google Pixel 8 Pro,1,600,4/20/2019,"910 Washington St, San Francisco, CA 94016",
176713,Wired Headphones,1,12,4/21/2019,"498 Walnut St, San Francisco, CA 94016",
176714,Samsung USB Type-C to Type-Ce-C,1,12,4/26/2019,"303 Spruce St, Los Angeles, CA 90001",
176715,Anker Soundcore Life 2 Neo,1,150,4/27/2019,"258 Jefferson St, San Francisco, CA 94016",
176716,Wired Headphones,1,12,4/24/2019,"794 7th St, Los Angeles, CA 90001",
176717,Anker Soundcore Life 2 Neo,1,150,4/19/2019,"490 Lakeview St, Atlanta, GA 30301",
176718,USB-C to Lightning Cable,1,15,4/22/2019,"672 Sunset St, Los Angeles, CA 90001",
176719,Flatscreen TV,1,300,4/27/2019,"602 Hickory St, Boston, MA 02215",
176720,USB-C to Lightning Cable,1,15,4/21/2019,"556 South St, Portland, OR 97035",
176721,AAA Batteries (4-pack),1,3,4/26/2019,"469 7th St, San Francisco, CA 94016",
176722,27in 4K Gaming Monitor,1,390,4/1/2019,"209 14th St, New York City, NY 10001",
176723,27in 4K Gaming Monitor,1,390,4/19/2019,"613 12th St, Portland, OR 97035",
176724,USB-C to Lightning Cable,1,15,4/26/2019,"34 12th St, San Francisco, CA 94016",
176725,AA Batteries (4-pack),2,4,4/15/2019,"630 14th St, San Francisco, CA 94016",
176726,Samsung USB Type-C to Type-Ce-C,1,12,4/13/2019,"979 8th St, Los Angeles, CA 90001",
176727,USB-C to Lightning Cable,1,15,4/14/2019,"218 Hickory St, Los Angeles, CA 90001",
176728,USB-C to Lightning Cable,1,15,4/21/2019,"516 Park St, Atlanta, GA 30301",
176729,Samsung USB Type-C to Type-Ce-C,1,12,4/24/2019,"637 9th St, Seattle, WA 98101",
176730,Bose SoundSport Headphones,1,100,4/17/2019,"403 Ridge St, New York City, NY 10001",
176731,AAA Batteries (4-pack),2,3,4/21/2019,"36 Lincoln St, San Francisco, CA 94016",
176732,iPhone 14 Pro Max,1,700,4/23/2019,"504 Wilson St, Dallas, TX 75001",
176733,20in Monitor,1,110,4/11/2019,"575 Hickory St, San Francisco, CA 94016",
176734,Anker Soundcore Life 2 Neo,1,150,4/3/2019,"611 Jackson St, New York City, NY 10001",
176735,27in FHD Monitor,1,150,4/16/2019,"802 Ridge St, Austin, TX 73301",
176736,AA Batteries (4-pack),1,4,4/17/2019,"421 2nd St, Los Angeles, CA 90001",
176737,Anker Soundcore Life 2 Neo,1,150,4/7/2019,"109 Center St, Los Angeles, CA 90001",
176738,AA Batteries (4-pack),1,4,4/3/2019,"661 Center St, San Francisco, CA 94016",
176739,24-inch Monitor,1,380,4/5/2019,"730 6th St, Austin, TX 73301",
176739,Google Pixel 8 Pro,1,600,4/5/2019,"730 6th St, Austin, TX 73301",
176740,Bose SoundSport Headphones,1,100,4/24/2019,"699 Washington St, Dallas, TX 75001",
176741,Samsung USB Type-C to Type-Ce-C,1,12,4/29/2019,"990 Ridge St, San Francisco, CA 94016",
176742,Wired Headphones,1,12,4/17/2019,"115 Forest St, Los Angeles, CA 90001",
176743,27in 4K Gaming Monitor,1,390,4/1/2019,"570 11th St, Atlanta, GA 30301",
176744,USB-C to Lightning Cable,1,15,4/14/2019,"937 Maple St, Los Angeles, CA 90001",
176745,Wired Headphones,1,12,4/24/2019,"461 Adams St, Los Angeles, CA 90001",
176746,27in 4K Gaming Monitor,1,390,4/8/2019,"638 Park St, Seattle, WA 98101",
176747,MacBook Pro M2,1,1700,4/27/2019,"645 7th St, San Francisco, CA 94016",
176748,Flatscreen TV,1,300,4/24/2019,"339 13th St, Boston, MA 02215",
176749,HP ProBook 450 Notebook,1,1000,4/26/2019,"322 Adams St, Seattle, WA 98101",
176750,AA Batteries (4-pack),1,4,4/13/2019,"255 Cedar St, Austin, TX 73301",
176751,AAA Batteries (4-pack),1,3,4/18/2019,"258 4th St, San Francisco, CA 94016",
176752,AA Batteries (4-pack),1,4,4/13/2019,"665 Wilson St, San Francisco, CA 94016",
176753,Samsung USB Type-C to Type-Ce-C,1,12,4/1/2019,"496 Adams St, Atlanta, GA 30301",
176754,24-inch Monitor,1,380,4/2/2019,"288 Forest St, Los Angeles, CA 90001",
176755,27in 4K Gaming Monitor,1,390,4/9/2019,"825 Madison St, Seattle, WA 98101",
176756,27in FHD Monitor,1,150,4/5/2019,"348 Lake St, New York City, NY 10001",
176757,AA Batteries (4-pack),1,4,4/11/2019,"79 Hickory St, Portland, OR 97035",
176758,24-inch Monitor,1,380,4/18/2019,"166 Highland St, San Francisco, CA 94016",
176759,USB-C to Lightning Cable,1,15,4/6/2019,"864 Main St, Los Angeles, CA 90001",
176760,Wired Headphones,1,12,4/2/2019,"813 Highland St, San Francisco, CA 94016",
176761,Anker Soundcore Life 2 Neo,1,150,4/26/2019,"830 2nd St, San Francisco, CA 94016",
176762,AA Batteries (4-pack),1,4,4/18/2019,"977 1st St, Seattle, WA 98101",
176763,Samsung USB Type-C to Type-Ce-C,1,12,4/25/2019,"638 Johnson St, San Francisco, CA 94016",
176764,Wired Headphones,1,12,4/16/2019,"652 Center St, Atlanta, GA 30301",
176765,Samsung USB Type-C to Type-Ce-C,1,12,4/14/2019,"729 Ridge St, San Francisco, CA 94016",
176766,AA Batteries (4-pack),2,4,4/21/2019,"84 Johnson St, Boston, MA 02215",
176767,27in 4K Gaming Monitor,1,390,4/9/2019,"205 4th St, Atlanta, GA 30301",
176768,Wired Headphones,1,12,4/4/2019,"643 Spruce St, Los Angeles, CA 90001",
176769,AA Batteries (4-pack),1,4,4/29/2019,"206 10th St, San Francisco, CA 94016",
176770,Wired Headphones,1,12,4/8/2019,"345 Church St, San Francisco, CA 94016",
176771,USB-C to Lightning Cable,1,15,4/24/2019,"403 11th St, New York City, NY 10001",
176772,AA Batteries (4-pack),1,4,4/10/2019,"426 14th St, New York City, NY 10001",
176773,AAA Batteries (4-pack),2,3,4/25/2019,"30 9th St, Portland, ME 04101",
176774,USB-C to Lightning Cable,1,15,4/25/2019,"372 Church St, Los Angeles, CA 90001",
176774,Samsung USB Type-C to Type-Ce-C,1,12,4/25/2019,"372 Church St, Los Angeles, CA 90001",
176775,Samsung USB Type-C to Type-Ce-C,2,12,4/1/2019,"975 Forest St, San Francisco, CA 94016",
176776,Bose SoundSport Headphones,1,100,4/24/2019,"613 Washington St, Seattle, WA 98101",
176777,Anker Soundcore Life 2 Neo,1,150,4/14/2019,"163 Jackson St, Portland, OR 97035",
176778,24-inch Monitor,1,380,4/12/2019,"201 Madison St, San Francisco, CA 94016",
176779,27in FHD Monitor,1,150,4/4/2019,"351 Park St, Atlanta, GA 30301",
176780,USB-C to Lightning Cable,1,15,4/18/2019,"52 Walnut St, New York City, NY 10001",
176781,iPhone 14 Pro Max,1,700,4/3/2019,"976 Hickory St, Dallas, TX 75001",
176781,USB-C to Lightning Cable,1,15,4/3/2019,"976 Hickory St, Dallas, TX 75001",
176782,Anker Soundcore Life 2 Neo,1,150,4/22/2019,"993 13th St, San Francisco, CA 94016",
176783,Anker Soundcore Life 2 Neo,1,150,4/5/2019,"926 North St, San Francisco, CA 94016",
176784,AAA Batteries (4-pack),1,3,4/8/2019,"725 Madison St, Los Angeles, CA 90001",
176785,Bose SoundSport Headphones,1,100,4/3/2019,"533 Ridge St, Los Angeles, CA 90001",
176786,20in Monitor,1,110,4/6/2019,"701 North St, San Francisco, CA 94016",
176787,Google Pixel 8 Pro,1,600,4/14/2019,"180 Pine St, Los Angeles, CA 90001",
176788,Bose SoundSport Headphones,1,100,4/15/2019,"200 North St, New York City, NY 10001",
176789,USB-C to Lightning Cable,1,15,4/21/2019,"990 Meadow St, San Francisco, CA 94016",
176790,AAA Batteries (4-pack),1,3,4/28/2019,"689 9th St, Austin, TX 73301",
176791,Google Pixel 8 Pro,1,600,4/21/2019,"908 Jackson St, Los Angeles, CA 90001",
176792,27in 4K Gaming Monitor,1,390,4/30/2019,"772 11th St, Atlanta, GA 30301",
176793,Wired Headphones,1,12,4/17/2019,"147 South St, San Francisco, CA 94016",
176794,USB-C to Lightning Cable,1,15,4/10/2019,"425 Adams St, Dallas, TX 75001",
176795,Wired Headphones,1,12,4/13/2019,"360 Center St, San Francisco, CA 94016",
176796,Bose SoundSport Headphones,1,100,4/7/2019,"5 2nd St, Los Angeles, CA 90001",
176797,Google Pixel 8 Pro,1,600,4/21/2019,"923 Elm St, Los Angeles, CA 90001",
176797,Bose SoundSport Headphones,1,100,4/21/2019,"923 Elm St, Los Angeles, CA 90001",
176797,Wired Headphones,1,12,4/21/2019,"923 Elm St, Los Angeles, CA 90001",
176798,iPhone 14 Pro Max,1,700,4/6/2019,"445 Jefferson St, Atlanta, GA 30301",
176799,Wired Headphones,1,12,4/3/2019,"452 Spruce St, Portland, OR 97035",
176800,USB-C to Lightning Cable,1,15,4/9/2019,"766 West St, Atlanta, GA 30301",
176801,Galaxy S23 Ultra,1,400,4/28/2019,"125 North St, San Francisco, CA 94016",
176802,AA Batteries (4-pack),1,4,4/29/2019,"627 12th St, Boston, MA 02215",
176803,AA Batteries (4-pack),1,4,4/1/2019,"649 7th St, Austin, TX 73301",
176804,Bose SoundSport Headphones,1,100,4/21/2019,"690 Walnut St, Seattle, WA 98101",
176805,Google Pixel 8 Pro,1,600,4/1/2019,"91 Lincoln St, Portland, OR 97035",
176805,Samsung USB Type-C to Type-Ce-C,1,12,4/1/2019,"91 Lincoln St, Portland, OR 97035",
176806,MacBook Pro M2,1,1700,4/22/2019,"197 Cherry St, Austin, TX 73301",
176807,Samsung USB Type-C to Type-Ce-C,1,12,4/21/2019,"758 Hill St, Seattle, WA 98101",
176808,Google Pixel 8 Pro,1,600,4/28/2019,"933 Meadow St, San Francisco, CA 94016",
176808,Wired Headphones,1,12,4/28/2019,"933 Meadow St, San Francisco, CA 94016",
176809,Bose SoundSport Headphones,2,100,4/19/2019,"278 13th St, San Francisco, CA 94016",
176810,AAA Batteries (4-pack),1,3,4/30/2019,"86 Meadow St, Atlanta, GA 30301",
176811,AA Batteries (4-pack),2,4,4/14/2019,"456 13th St, Dallas, TX 75001",
176812,Wired Headphones,1,12,4/20/2019,"569 Willow St, New York City, NY 10001",
176813,Google Pixel 8 Pro,1,600,4/28/2019,"269 Hill St, Atlanta, GA 30301",
176813,Wired Headphones,1,12,4/28/2019,"269 Hill St, Atlanta, GA 30301",
176814,USB-C to Lightning Cable,1,15,4/9/2019,"501 13th St, New York City, NY 10001",
176815,AAA Batteries (4-pack),1,3,4/4/2019,"327 Adams St, San Francisco, CA 94016",
176816,27in 4K Gaming Monitor,1,390,4/19/2019,"623 Lincoln St, Portland, OR 97035",
176817,USB-C to Lightning Cable,1,15,4/26/2019,"284 Walnut St, Seattle, WA 98101",
176818,Wired Headphones,1,12,4/9/2019,"642 13th St, San Francisco, CA 94016",
176819,AA Batteries (4-pack),2,4,4/15/2019,"615 9th St, Portland, OR 97035",
176820,Samsung USB Type-C to Type-Ce-C,1,12,4/17/2019,"654 Adams St, Boston, MA 02215",
176821,24-inch Monitor,1,380,4/18/2019,"72 Meadow St, San Francisco, CA 94016",
176822,AAA Batteries (4-pack),1,3,4/22/2019,"40 Cedar St, Seattle, WA 98101",
176823,Wired Headphones,1,12,4/6/2019,"893 11th St, Seattle, WA 98101",
176824,Samsung USB Type-C to Type-Ce-C,2,12,4/3/2019,"983 Center St, Los Angeles, CA 90001",
176825,LG Washing Machine,1,600,4/13/2019,"338 6th St, San Francisco, CA 94016",
176826,Bose SoundSport Headphones,1,100,4/11/2019,"72 Meadow St, San Francisco, CA 94016",
176827,AAA Batteries (4-pack),1,3,4/20/2019,"465 Hickory St, Los Angeles, CA 90001",
176828,iPhone 14 Pro Max,1,700,4/7/2019,"696 Highland St, Seattle, WA 98101",
176829,Wired Headphones,1,12,4/30/2019,"335 Wilson St, San Francisco, CA 94016",
176830,Wired Headphones,1,12,4/18/2019,"663 5th St, Austin, TX 73301",
176831,Samsung USB Type-C to Type-Ce-C,1,12,4/1/2019,"743 Spruce St, San Francisco, CA 94016",
176832,Anker Soundcore Life 2 Neo,1,150,4/19/2019,"533 Spruce St, Los Angeles, CA 90001",
176833,Wired Headphones,1,12,4/21/2019,"226 Madison St, Boston, MA 02215",
176834,USB-C to Lightning Cable,1,15,4/15/2019,"193 Forest St, San Francisco, CA 94016",
176835,Samsung USB Type-C to Type-Ce-C,1,12,4/23/2019,"628 10th St, Boston, MA 02215",
